FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
QBPBSTAS,"Balance Sheet: Total Assets, Millions of U.S. Dollars, Quarterly, Not Seasonally Adjusted",,
QBPBSTLKTL,"Balance Sheet: Total Liabilities and Capital: Total Liabilities, Millions of U.S. Dollars, Quarterly, Not Seasonally Adjusted",,
QBPBSTLKTEQK,"Balance Sheet: Total Liabilities and Capital: Total Equity Capital, Millions of U.S. Dollars, Quarterly, Not Seasonally Adjusted",,
,,,
Frequency: Quarterly,,,
observation_date,QBPBSTAS,QBPBSTLKTL,QBPBSTLKTEQK
2013-01-01,14423791.848,12782105.689,1641686.134
2013-04-01,14409751.242,12786482.653,1623268.539
2013-07-01,14603604.365,12966404.829,1637199.536
2013-10-01,14730790.515,13076529.389,1654261.126
2014-01-01,14909898.824,13228696.340,1681202.475
2014-04-01,15171911.352,13456697.456,1715213.845
2014-07-01,15348740.218,13622019.697,1726720.519
2014-10-01,15553728.396,13812824.293,1740904.077
2015-01-01,15777971.708,14006426.379,1771545.297
2015-04-01,15753630.867,13977962.397,1775668.448
2015-07-01,15800092.047,14003043.727,1797048.310
2015-10-01,15967662.111,14166745.522,1800916.591
2016-01-01,16293275.899,14453281.076,1839994.821
2016-04-01,16533969.432,14663593.356,1870376.048
2016-07-01,16766622.237,14880056.313,1886565.883
2016-10-01,16779681.324,14910571.378,1869109.903
2017-01-01,16965580.738,15068990.834,1896589.861
2017-04-01,17069493.576,15131302.071,1938191.491
2017-07-01,17242501.094,15287114.919,1955386.142
2017-10-01,17415409.638,15457378.683,1958030.912
2018-01-01,17530252.166,15562861.089,1967391.068
2018-04-01,17532878.340,15549042.004,1983836.296
2018-07-01,17672831.760,15675516.123,1997315.591
2018-10-01,17942993.108,15920390.472,2022602.594
2019-01-01,18089969.411,16030472.874,2059496.480
2019-04-01,18265882.335,16168193.299,2097688.975
2019-07-01,18481915.196,16380533.603,2101381.562
2019-10-01,18645330.519,16531662.505,2113667.985
2020-01-01,20253427.562,18135847.027,2117580.504
2020-04-01,21138118.102,18988655.740,2149462.325
2020-07-01,21219742.010,19033982.593,2185759.380
